numero_puntos,n_puntos_cupula,t_gift_wrapping,t_incremental,t_incremental_nosort,correcto_gw,correcto_inc,correcto_incns
5000,100,0.00169726,0.000647195,0.000268758,1,1,1
5000,200,0.00313487,0.000635472,0.000261685,1,1,1
5000,300,0.00465316,0.00062296,0.000249081,1,1,1
5000,400,0.00620578,0.000635064,0.000248659,1,1,1
5000,500,0.00778876,0.000627085,0.000251097,1,1,1
5000,600,0.00948593,0.000620459,0.000242165,1,1,1
5000,700,0.0109064,0.000625377,0.000249186,1,1,1
5000,800,0.0124158,0.000626624,0.000244009,1,1,1
5000,900,0.0139866,0.000621614,0.000245676,1,1,1
5000,1000,0.0155714,0.000618217,0.00023901,1,1,1
10000,100,0.00319905,0.001374,0.000550368,1,1,1
10000,200,0.006283,0.00133256,0.000526597,1,1,1
10000,300,0.00936035,0.00132596,0.000525952,1,1,1
10000,400,0.0128146,0.00143616,0.000512975,1,1,1
10000,500,0.0155583,0.00133393,0.000520368,1,1,1
10000,600,0.0186651,0.00132198,0.000507661,1,1,1
10000,700,0.021783,0.00131897,0.000499272,1,1,1
10000,800,0.0248232,0.00131813,0.000502571,1,1,1
10000,900,0.0279606,0.00131563,0.00050615,1,1,1
10000,1000,0.0311167,0.00132683,0.000500032,1,1,1
15000,100,0.00486834,0.0021424,0.000825667,1,1,1
15000,200,0.0094323,0.00205241,0.000797343,1,1,1
15000,300,0.0142007,0.00205972,0.000809673,1,1,1
15000,400,0.0187922,0.00203141,0.000777512,1,1,1
15000,500,0.0233759,0.00203574,0.000792987,1,1,1
15000,600,0.0280601,0.00203362,0.00078173,1,1,1
15000,700,0.03305,0.00202509,0.000764124,1,1,1
15000,800,0.0373294,0.00203111,0.000756577,1,1,1
15000,900,0.0423292,0.00202504,0.000760335,1,1,1
15000,1000,0.0465675,0.0020234,0.000759094,1,1,1
20000,100,0.00643473,0.00289372,0.00111612,1,1,1
20000,200,0.0125051,0.00282121,0.00105769,1,1,1
20000,300,0.0186999,0.00278304,0.0010788,1,1,1
20000,400,0.0253828,0.00277429,0.00105252,1,1,1
20000,500,0.031236,0.00277189,0.0010588,1,1,1
20000,600,0.0375816,0.00277624,0.00104912,1,1,1
20000,700,0.0435621,0.00275913,0.00103943,1,1,1
20000,800,0.0499678,0.00275699,0.00102491,1,1,1
20000,900,0.0560848,0.00274589,0.00102115,1,1,1
20000,1000,0.0624671,0.00278119,0.00103559,1,1,1
25000,100,0.00800391,0.00369629,0.00139649,1,1,1
25000,200,0.0160289,0.00353315,0.00132845,1,1,1
25000,300,0.0235992,0.0035357,0.00133668,1,1,1
25000,400,0.0311791,0.00352833,0.00130898,1,1,1
25000,500,0.0390197,0.00354927,0.00131736,1,1,1
25000,600,0.0467134,0.00352784,0.00132043,1,1,1
25000,700,0.0550549,0.00351685,0.00129411,1,1,1
25000,800,0.0623765,0.00352612,0.00128988,1,1,1
25000,900,0.0700397,0.00347368,0.00128038,1,1,1
