numero_puntos,n_puntos_cupula,t_gift_wrapping,t_incremental,t_incremental_nosort,correcto_gw,correcto_inc,correcto_incns
2500,2500,0.0195487,0.000253154,7.0323e-05,1,1,1
5000,2500,0.0388446,0.000604511,0.000204723,1,1,1
5000,5000,0.0775702,0.000535013,0.000165749,1,1,1
7500,2500,0.0581183,0.000961762,0.000325913,1,1,1
7500,5000,0.116205,0.000920419,0.000307193,1,1,1
7500,7500,0.17441,0.000862623,0.000240488,1,1,1
10000,2500,0.0774518,0.00130333,0.00045609,1,1,1
10000,5000,0.154922,0.00125167,0.000426755,1,1,1
10000,7500,0.232558,0.0012319,0.000394722,1,1,1
10000,10000,0.310117,0.00121313,0.000321317,1,1,1
12500,2500,0.0969689,0.00166196,0.000589994,1,1,1
12500,5000,0.193605,0.00161133,0.000562332,1,1,1
12500,7500,0.29059,0.00159662,0.000515245,1,1,1
12500,10000,0.387318,0.00151807,0.00049185,1,1,1
12500,12500,0.48428,0.0014678,0.000401417,1,1,1
15000,2500,0.116218,0.00201541,0.000725306,1,1,1
15000,5000,0.232721,0.00197415,0.000692779,1,1,1
15000,7500,0.348484,0.00197038,0.000649436,1,1,1
15000,10000,0.464477,0.00187598,0.000621946,1,1,1
15000,12500,0.581108,0.00186456,0.000561838,1,1,1
15000,15000,0.697501,0.00179168,0.000485945,1,1,1
17500,2500,0.13568,0.00243062,0.000853709,1,1,1
17500,5000,0.271087,0.00234484,0.000817951,1,1,1
17500,7500,0.406981,0.00232502,0.000777416,1,1,1
17500,10000,0.542269,0.00226211,0.000745221,1,1,1
17500,12500,0.677466,0.00225123,0.000688574,1,1,1
17500,15000,0.813262,0.00216983,0.000644087,1,1,1
17500,17500,0.948936,0.00213426,0.000544437,1,1,1
20000,2500,0.155171,0.00274615,0.000966459,1,1,1
20000,5000,0.309661,0.0027036,0.000945702,1,1,1
20000,7500,0.465134,0.00267908,0.000919156,1,1,1
20000,10000,0.619509,0.00262597,0.000860764,1,1,1
20000,12500,0.774997,0.00264905,0.00082846,1,1,1
20000,15000,0.929672,0.00256488,0.000793312,1,1,1
20000,17500,1.08446,0.00248297,0.000711507,1,1,1
20000,20000,1.23935,0.00238495,0.000675473,1,1,1
22500,2500,0.174435,0.00317802,0.00110125,1,1,1
22500,5000,0.348903,0.00311288,0.00106105,1,1,1
22500,7500,0.522716,0.00307887,0.00103384,1,1,1
22500,10000,0.697581,0.00298803,0.00100589,1,1,1
22500,12500,0.871117,0.00298655,0.000947891,1,1,1
22500,15000,1.04586,0.00294037,0.000903521,1,1,1
22500,17500,1.22028,0.00289421,0.000863122,1,1,1
22500,20000,1.39452,0.00278037,0.000823719,1,1,1
22500,22500,1.56851,0.00268485,0.000731087,1,1,1
25000,2500,0.19431,0.00351868,0.00122627,1,1,1
25000,5000,0.388474,0.00345537,0.00119433,1,1,1
25000,7500,0.581145,0.00341963,0.00116016,1,1,1
25000,10000,0.778466,0.00339767,0.00111754,1,1,1
25000,12500,0.968876,0.00337884,0.00108258,1,1,1
25000,15000,1.16128,0.00333535,0.00103849,1,1,1
25000,17500,1.35591,0.00326186,0.00100215,1,1,1
25000,20000,1.54988,0.00317824,0.000984353,1,1,1
25000,22500,1.74284,0.00307634,0.000894131,1,1,1
25000,25000,1.93697,0.00306387,0.000795794,1,1,1
27500,2500,0.213134,0.00389969,0.00135808,1,1,1
27500,5000,0.426879,0.00384529,0.00133839,1,1,1
27500,7500,0.640197,0.00384298,0.00129497,1,1,1
27500,10000,0.852462,0.00376916,0.0012655,1,1,1
27500,12500,1.06573,0.00374687,0.0012049,1,1,1
27500,15000,1.27912,0.00372354,0.00114866,1,1,1
27500,17500,1.49137,0.00366695,0.00112403,1,1,1
27500,20000,1.70466,0.0035818,0.00111312,1,1,1
27500,22500,1.91689,0.00349977,0.00102799,1,1,1
27500,25000,2.13114,0.0034985,0.000967519,1,1,1
27500,27500,2.34347,0.00343572,0.00087684,1,1,1
30000,2500,0.232006,0.00433713,0.00149249,1,1,1
30000,5000,0.464622,0.00424714,0.0014598,1,1,1
30000,7500,0.697353,0.00421061,0.00140757,1,1,1
30000,10000,0.929226,0.00413699,0.00138113,1,1,1
30000,12500,1.16142,0.00408611,0.00132165,1,1,1
30000,15000,1.39463,0.00409447,0.00128247,1,1,1
30000,17500,1.62673,0.00401,0.00124792,1,1,1
30000,20000,1.86033,0.00395472,0.00125205,1,1,1
30000,22500,2.09013,0.00388027,0.00118557,1,1,1
30000,25000,2.3248,0.00394737,0.00111061,1,1,1
30000,27500,2.55647,0.00383755,0.00103876,1,1,1
30000,30000,2.78899,0.00375167,0.000941979,1,1,1
32500,2500,0.251731,0.00466326,0.00161111,1,1,1
32500,5000,0.504714,0.00460301,0.00159268,1,1,1
32500,7500,0.755112,0.00463192,0.0015452,1,1,1
32500,10000,1.00715,0.00452008,0.00150345,1,1,1
32500,12500,1.25821,0.00448059,0.00145586,1,1,1
32500,15000,1.51077,0.00446151,0.00140743,1,1,1
32500,17500,1.76268,0.00439861,0.00136261,1,1,1
32500,20000,2.01466,0.00431304,0.00136592,1,1,1
32500,22500,2.26588,0.00431456,0.00130758,1,1,1
32500,25000,2.51827,0.00432399,0.00126592,1,1,1
32500,27500,2.76972,0.00422951,0.00119334,1,1,1
32500,30000,3.02249,0.00421368,0.00113052,1,1,1
32500,32500,3.27309,0.00414021,0.00103423,1,1,1
35000,2500,0.27179,0.00512939,0.00174452,1,1,1
35000,5000,0.542529,0.00499,0.00171855,1,1,1
35000,7500,0.813046,0.00494928,0.00166845,1,1,1
35000,10000,1.08536,0.00486571,0.00163445,1,1,1
35000,12500,1.35666,0.00488482,0.00157278,1,1,1
35000,15000,1.62556,0.00483683,0.00155066,1,1,1
35000,17500,1.89754,0.00476981,0.00148742,1,1,1
35000,20000,2.16801,0.00470409,0.0015041,1,1,1
35000,22500,2.44238,0.00475298,0.00145151,1,1,1
35000,25000,2.71159,0.00467569,0.00138598,1,1,1
35000,27500,2.98239,0.00471166,0.001352,1,1,1
35000,30000,3.25479,0.00468368,0.00127825,1,1,1
35000,32500,3.52425,0.00453467,0.00120316,1,1,1
35000,35000,3.7972,0.00461374,0.00114061,1,1,1
37500,2500,0.29064,0.00545377,0.00188587,1,1,1
37500,5000,0.581254,0.00545874,0.00182501,1,1,1
37500,7500,0.871735,0.00535104,0.00177407,1,1,1
37500,10000,1.16244,0.00526785,0.0017416,1,1,1
37500,12500,1.45295,0.00524959,0.00171477,1,1,1
37500,15000,1.74274,0.00537443,0.00166532,1,1,1
37500,17500,2.0339,0.00513185,0.00164762,1,1,1
37500,20000,2.32191,0.00512419,0.00162796,1,1,1
37500,22500,2.61358,0.0050042,0.00155401,1,1,1
37500,25000,2.90551,0.00506234,0.00150895,1,1,1
37500,27500,3.1947,0.00503862,0.00147301,1,1,1
37500,30000,3.48811,0.00501585,0.00142708,1,1,1
37500,32500,3.77662,0.00499947,0.00137134,1,1,1
37500,35000,4.06734,0.00488422,0.00130398,1,1,1
37500,37500,4.35655,0.00483503,0.00136816,1,1,1
40000,2500,0.310114,0.00582504,0.00200523,1,1,1
40000,5000,0.619508,0.00578197,0.00193732,1,1,1
40000,7500,0.930473,0.00573977,0.00188926,1,1,1
40000,10000,1.23812,0.00564593,0.00186851,1,1,1
40000,12500,1.54993,0.0056262,0.00184447,1,1,1
40000,15000,1.86065,0.00561417,0.00178636,1,1,1
40000,17500,2.16803,0.00554451,0.00174255,1,1,1
40000,20000,2.47949,0.00550203,0.00175362,1,1,1
40000,22500,2.78925,0.00544966,0.00168627,1,1,1
40000,25000,3.0996,0.00547853,0.00166059,1,1,1
40000,27500,3.40693,0.00547208,0.00160524,1,1,1
40000,30000,3.72253,0.00548747,0.0015649,1,1,1
40000,32500,4.02892,0.00532495,0.00150752,1,1,1
40000,35000,4.33973,0.00524194,0.00144758,1,1,1
40000,37500,4.64814,0.00526252,0.00153426,1,1,1
40000,40000,4.95916,0.00514891,0.00144916,1,1,1
42500,2500,0.330009,0.00621351,0.00215427,1,1,1
