numero_puntos,n_puntos_cupula,t_gift_wrapping,t_incremental,t_incremental_nosort,correcto_gw,correcto_inc,correcto_incns
100,10,6.099e-06,1.2966e-05,4.625e-06,1,1,1
100,20,1.083e-05,9.812e-06,4.154e-06,1,1,1
100,30,1.3617e-05,9.75e-06,4.65e-06,1,1,1
100,40,1.9255e-05,9.51e-06,4.635e-06,1,1,1
100,50,3.486e-05,9.557e-06,4.013e-06,1,1,1
100,60,2.7581e-05,9.957e-06,4.139e-06,1,1,1
100,70,2.9821e-05,9.472e-06,5.302e-06,1,1,1
100,80,3.2742e-05,8.591e-06,4.037e-06,1,1,1
100,90,3.6322e-05,7.897e-06,3.486e-06,1,1,1
100,100,4.0644e-05,7.433e-06,3.1e-06,1,1,1
200,10,9.052e-06,2.2305e-05,8.11e-06,1,1,1
200,20,1.6787e-05,1.9731e-05,8.027e-06,1,1,1
200,30,2.3161e-05,1.9111e-05,7.829e-06,1,1,1
200,40,3.1015e-05,1.8893e-05,7.884e-06,1,1,1
200,50,3.8138e-05,1.89e-05,7.712e-06,1,1,1
200,60,4.6927e-05,1.94e-05,7.724e-06,1,1,1
200,70,5.3805e-05,1.9051e-05,8.559e-06,1,1,1
200,80,6.0205e-05,1.8612e-05,8.094e-06,1,1,1
200,90,6.7377e-05,1.8539e-05,7.756e-06,1,1,1
200,100,7.392e-05,1.852e-05,8.899e-06,1,1,1
200,110,8.1663e-05,1.8527e-05,7.799e-06,1,1,1
200,120,8.8388e-05,1.7984e-05,7.557e-06,1,1,1
200,130,9.5744e-05,1.8078e-05,8.914e-06,1,1,1
200,140,0.000103757,1.8114e-05,7.279e-06,1,1,1
200,150,0.000110526,1.7101e-05,6.837e-06,1,1,1
200,160,0.000118138,1.6507e-05,6.989e-06,1,1,1
200,170,0.000124017,1.6735e-05,6.648e-06,1,1,1
200,180,0.0001326,1.5961e-05,6.355e-06,1,1,1
200,190,0.000138129,1.6289e-05,6.512e-06,1,1,1
200,200,0.000144639,1.7347e-05,6.138e-06,1,1,1
300,10,1.2476e-05,3.4365e-05,1.2515e-05,1,1,1
300,20,2.3598e-05,2.9768e-05,1.1862e-05,1,1,1
300,30,3.4645e-05,3.0232e-05,1.1719e-05,1,1,1
300,40,4.3884e-05,2.9972e-05,1.1836e-05,1,1,1
300,50,5.4872e-05,2.9352e-05,1.2447e-05,1,1,1
300,60,6.6193e-05,2.9202e-05,1.1604e-05,1,1,1
300,70,7.5794e-05,2.9908e-05,1.2104e-05,1,1,1
300,80,8.787e-05,3.0623e-05,1.2474e-05,1,1,1
300,90,9.8468e-05,3.078e-05,1.2423e-05,1,1,1
300,100,0.000106771,2.9551e-05,1.1853e-05,1,1,1
300,110,0.000119988,2.9879e-05,1.2035e-05,1,1,1
300,120,0.000129698,2.9218e-05,1.1743e-05,1,1,1
300,130,0.000137358,2.9337e-05,1.2209e-05,1,1,1
300,140,0.000150001,2.9219e-05,1.1835e-05,1,1,1
300,150,0.000159217,2.887e-05,1.132e-05,1,1,1
300,160,0.000169682,2.8226e-05,1.101e-05,1,1,1
300,170,0.000179376,2.8198e-05,1.1044e-05,1,1,1
300,180,0.000189838,2.7687e-05,1.0679e-05,1,1,1
300,190,0.000200289,2.7483e-05,1.1097e-05,1,1,1
300,200,0.000211626,2.7425e-05,1.1989e-05,1,1,1
300,210,0.000209081,2.6973e-05,1.0673e-05,1,1,1
300,220,0.000195637,2.6709e-05,9.911e-06,1,1,1
300,230,0.000220342,2.6149e-05,1.0014e-05,1,1,1
300,240,0.000214137,2.6264e-05,1.104e-05,1,1,1
300,250,0.000218695,2.5875e-05,9.816e-06,1,1,1
300,260,0.00022907,2.6476e-05,1.0361e-05,1,1,1
300,270,0.000237345,2.5579e-05,9.979e-06,1,1,1
300,280,0.000248236,2.513e-05,9.529e-06,1,1,1
300,290,0.000256005,2.4731e-05,9.149e-06,1,1,1
300,300,0.000263058,2.3818e-05,8.66e-06,1,1,1
400,10,1.5025e-05,4.2808e-05,1.7784e-05,1,1,1
400,20,2.6216e-05,3.995e-05,1.6516e-05,1,1,1
400,30,3.7925e-05,4.0784e-05,1.669e-05,1,1,1
400,40,4.9095e-05,4.1193e-05,1.7215e-05,1,1,1
400,50,5.9954e-05,3.9769e-05,1.6112e-05,1,1,1
400,60,7.1332e-05,4.0305e-05,1.6472e-05,1,1,1
400,70,8.3599e-05,4.0975e-05,1.6706e-05,1,1,1
400,80,9.4349e-05,4.0845e-05,1.6931e-05,1,1,1
400,90,0.000106311,4.0671e-05,1.6908e-05,1,1,1
400,100,0.000118435,4.098e-05,1.74e-05,1,1,1
400,110,0.000127994,4.0355e-05,1.6764e-05,1,1,1
