numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
5000,0.000269225,0.000648914,0.0002528,1,1,1,18,18,18
5000,0.000304762,0.000644158,0.000252089,1,1,1,21,21,21
5000,0.00041234,0.00064308,0.000250656,1,1,1,29,29,29
5000,0.000305615,0.000647629,0.000255193,1,1,1,21,21,21
5000,0.000343699,0.000638832,0.000254807,1,1,1,24,24,24
5000,0.000265023,0.000645771,0.000253962,1,1,1,18,18,18
5000,0.000347921,0.000646977,0.000247973,1,1,1,24,24,24
5000,0.000388609,0.00063969,0.000252921,1,1,1,27,27,27
5000,0.000306111,0.000642814,0.000251486,1,1,1,21,21,21
5000,0.000386984,0.000648357,0.000253302,1,1,1,27,27,27
10000,0.000649947,0.00136587,0.000515181,1,1,1,18,18,18
10000,0.000766285,0.00134757,0.000522114,1,1,1,25,25,25
10000,0.000814348,0.00134937,0.000529543,1,1,1,25,25,25
10000,0.000582064,0.00135117,0.000518534,1,1,1,19,19,19
10000,0.000795346,0.00134041,0.000527151,1,1,1,25,25,25
10000,0.00073549,0.00137077,0.000524644,1,1,1,24,24,24
10000,0.000616562,0.00134856,0.000527711,1,1,1,20,20,20
10000,0.000736529,0.00134173,0.000522181,1,1,1,24,24,24
10000,0.000612589,0.00136413,0.000517514,1,1,1,20,20,20
10000,0.000705181,0.00137285,0.000517424,1,1,1,23,23,23
15000,0.00168256,0.00209195,0.000789273,1,1,1,34,34,34
15000,0.0011918,0.0020618,0.000775899,1,1,1,24,24,24
15000,0.00108876,0.00211359,0.00077634,1,1,1,22,22,22
15000,0.00140976,0.00207199,0.000783519,1,1,1,29,29,29
15000,0.00147598,0.00207861,0.000779533,1,1,1,31,31,31
15000,0.00110877,0.00209866,0.000777799,1,1,1,23,23,23
15000,0.00124989,0.00207846,0.000778535,1,1,1,26,26,26
15000,0.00101843,0.00209933,0.000777871,1,1,1,21,21,21
15000,0.00132809,0.00206351,0.000782579,1,1,1,27,27,27
15000,0.00107721,0.00206611,0.000779196,1,1,1,22,22,22
20000,0.00173353,0.00282955,0.00103361,1,1,1,26,26,26
20000,0.00156257,0.00283451,0.00103844,1,1,1,24,24,24
20000,0.00180877,0.00283713,0.00105224,1,1,1,28,28,28
20000,0.00184827,0.00284106,0.00105082,1,1,1,28,28,28
20000,0.00144079,0.00281332,0.0010545,1,1,1,22,22,22
20000,0.0016046,0.00281876,0.00103798,1,1,1,24,24,24
20000,0.00182884,0.00282836,0.00104646,1,1,1,28,28,28
20000,0.00162415,0.00281477,0.00104883,1,1,1,25,25,25
20000,0.00168739,0.00284873,0.00104176,1,1,1,26,26,26
20000,0.00162724,0.00283735,0.00105365,1,1,1,25,25,25
25000,0.00215374,0.00363418,0.00130199,1,1,1,26,26,26
25000,0.00190953,0.003576,0.00131949,1,1,1,22,22,22
25000,0.00209138,0.00358625,0.00129187,1,1,1,25,25,25
25000,0.00195633,0.00360576,0.00129666,1,1,1,24,24,24
25000,0.00208125,0.00356301,0.00131646,1,1,1,25,25,25
25000,0.00231369,0.00357725,0.00129968,1,1,1,28,28,28
25000,0.0020062,0.00358806,0.00129913,1,1,1,24,24,24
25000,0.00193073,0.00358376,0.00131018,1,1,1,23,23,23
25000,0.00188393,0.00360214,0.00129598,1,1,1,23,23,23
25000,0.00285177,0.0035905,0.00131181,1,1,1,35,35,35
30000,0.00313296,0.00435897,0.00158188,1,1,1,32,32,32
30000,0.00235662,0.00434903,0.00157149,1,1,1,24,24,24
30000,0.00262151,0.00436577,0.00155795,1,1,1,27,27,27
30000,0.00197502,0.00434469,0.00156545,1,1,1,20,20,20
30000,0.00263285,0.00440347,0.00157447,1,1,1,27,27,27
30000,0.00271529,0.00434104,0.00155946,1,1,1,28,28,28
30000,0.00268508,0.00434487,0.00155381,1,1,1,27,27,27
30000,0.00289799,0.00432179,0.00155511,1,1,1,29,29,29
30000,0.00271285,0.0043494,0.00155474,1,1,1,28,28,28
30000,0.0022586,0.00437021,0.00155997,1,1,1,23,23,23
35000,0.00354137,0.00509588,0.00182071,1,1,1,31,31,31
35000,0.00351483,0.00509593,0.00181774,1,1,1,31,31,31
35000,0.00316482,0.00513303,0.00180741,1,1,1,28,28,28
35000,0.00359606,0.00513934,0.00181868,1,1,1,32,32,32
35000,0.00316644,0.00512362,0.00181354,1,1,1,28,28,28
35000,0.00294851,0.00510988,0.00183944,1,1,1,26,26,26
35000,0.00318994,0.00509799,0.00182717,1,1,1,28,28,28
35000,0.0028855,0.00512611,0.00185191,1,1,1,25,25,25
35000,0.00308637,0.00512903,0.00181133,1,1,1,27,27,27
35000,0.00330737,0.00508768,0.0018035,1,1,1,29,29,29
40000,0.00378741,0.00590443,0.00208361,1,1,1,29,29,29
40000,0.00408036,0.00595983,0.00208032,1,1,1,31,31,31
40000,0.00361643,0.00586716,0.00207452,1,1,1,28,28,28
40000,0.00411539,0.00585363,0.0020995,1,1,1,32,32,32
40000,0.0047416,0.005903,0.00206595,1,1,1,37,37,37
40000,0.00324783,0.00587944,0.00209754,1,1,1,25,25,25
40000,0.004195,0.00596022,0.0021112,1,1,1,32,32,32
40000,0.00369769,0.00588616,0.00209627,1,1,1,28,28,28
40000,0.00395023,0.00592784,0.00207623,1,1,1,30,30,30
40000,0.00387886,0.00592591,0.00207761,1,1,1,30,30,30
45000,0.00412883,0.00666709,0.00234561,1,1,1,28,28,28
45000,0.00379413,0.00671949,0.00234301,1,1,1,26,26,26
45000,0.00351382,0.00670462,0.00235773,1,1,1,24,24,24
45000,0.00420616,0.00668201,0.00235281,1,1,1,29,29,29
45000,0.0039311,0.00670266,0.00233996,1,1,1,27,27,27
45000,0.00378985,0.00668146,0.00234683,1,1,1,26,26,26
45000,0.00382055,0.00670232,0.00235267,1,1,1,26,26,26
45000,0.00409973,0.00668593,0.00233168,1,1,1,28,28,28
45000,0.00355737,0.00666871,0.00234031,1,1,1,24,24,24
45000,0.0039316,0.00667245,0.00232945,1,1,1,27,27,27
50000,0.0044159,0.00748498,0.00260662,1,1,1,27,27,27
50000,0.00442751,0.00747953,0.00260509,1,1,1,27,27,27
50000,0.00405762,0.00745002,0.00260356,1,1,1,25,25,25
50000,0.00467828,0.00745301,0.00258821,1,1,1,29,29,29
50000,0.00544503,0.00753552,0.00260667,1,1,1,34,34,34
50000,0.00421338,0.00746555,0.00263253,1,1,1,26,26,26
50000,0.00448697,0.00745087,0.00261918,1,1,1,27,27,27
50000,0.00436509,0.00744354,0.00260632,1,1,1,27,27,27
